id_municipio,municipio_nome,unidade,nome_rm,nome_ugrhi
3505708,Barueri,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3505807,Bastos,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3505906,Batatais,URAE 4 - Norte,Região Metropolitana de Ribeirão Preto,Sapucaí / Grande
3506003,Bauru,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3506102,Bebedouro,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Pardo / Grande
3506201,Bento de Abreu,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Tietê
3506300,Bernardino de Campos,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3506359,Bertioga,URAE 1 - Sudeste,Região Metropolitana da Baixada Santista,Baixada Santista
3506409,Bilac,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3506508,Birigui,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3506607,Biritiba-Mirim,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3506706,Boa Esperança do Sul,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3506805,Bocaina,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Jacaré
3506904,Bofete,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Sorocaba
3507001,Boituva,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3507100,Bom Jesus dos Perdões,URAE 3 - Leste,_Fora de RMs/AUs,Piracicaba / Capivari / Jundiaí
3507159,Bom Sucesso de Itararé,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3507209,Borá,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3507308,Boracéia,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Jacaré
3507407,Borborema,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3507456,Borebi,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3507506,Botucatu,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Sorocaba
3507605,Bragança Paulista,URAE 1 - Sudeste,_Fora de RMs/AUs,Piracicaba / Capivari / Jundiaí
3507704,Braúna,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3507753,Brejo Alegre,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Tietê
3507803,Brodowski,URAE 4 - Norte,Região Metropolitana de Ribeirão Preto,Pardo
3507902,Brotas,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3508009,Buri,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3508108,Buritama,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3508207,Buritizal,URAE 1 - Sudeste,Aglomeração Urbana de Franca,Sapucaí / Grande
3508306,Cabrália Paulista,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3508405,Cabreúva,URAE 1 - Sudeste,Aglomeração Urbana de Jundiaí,Tietê / Sorocaba
3508504,Caçapava,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3508603,Cachoeira Paulista,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3508702,Caconde,URAE 4 - Norte,_Fora de RMs/AUs,Pardo
3508801,Cafelândia,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3508900,Caiabu,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3509007,Caieiras,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3509106,Caiuá,URAE 2 - Centro,_Fora de RMs/AUs,Pontal do Paranapanema
3509205,Cajamar,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3509254,Cajati,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3509304,Cajobi,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3509403,Cajuru,URAE 1 - Sudeste,Região Metropolitana de Ribeirão Preto,Pardo
3509452,Campina do Monte Alegre,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3509502,Campinas,URAE 3 - Leste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
3509601,Campo Limpo Paulista,URAE 1 - Sudeste,Aglomeração Urbana de Jundiaí,Piracicaba / Capivari / Jundiaí
3509700,Campos do Jordão,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Mantiqueira
3509809,Campos Novos Paulista,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3509908,Cananéia,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3509957,Canas,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3510005,Cândido Mota,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3510104,Cândido Rodrigues,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3510153,Canitar,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3510203,Capão Bonito,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3510302,Capela do Alto,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3510401,Capivari,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3510500,Caraguatatuba,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Litoral Norte
3510609,Carapicuíba,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3510708,Cardoso,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3510807,Casa Branca,URAE 4 - Norte,_Fora de RMs/AUs,Pardo
3510906,Cássia dos Coqueiros,URAE 1 - Sudeste,Região Metropolitana de Ribeirão Preto,Pardo
3511003,Castilho,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3511102,Catanduva,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3511201,Catiguá,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3511300,Cedral,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3511409,Cerqueira César,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3511508,Cerquilho,URAE 2 - Centro,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3511607,Cesário Lange,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3511706,Charqueada,URAE 1 - Sudeste,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3557204,Chavantes,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3511904,Clementina,URAE 2 - Centro,_Fora de RMs/AUs,Aguapeí
3512001,Colina,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Pardo / Grande
3512100,Colômbia,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Pardo / Grande
3512209,Conchal,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Mogi-Guaçu
3512308,Conchas,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Sorocaba
3512407,Cordeirópolis,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3512506,Coroados,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Tietê
3512605,Coronel Macedo,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3512704,Corumbataí,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3512803,Cosmópolis,URAE 3 - Leste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
3512902,Cosmorama,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3513009,Cotia,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3513108,Cravinhos,URAE 4 - Norte,Região Metropolitana de Ribeirão Preto,Pardo
3513207,Cristais Paulista,URAE 4 - Norte,Aglomeração Urbana de Franca,Sapucaí / Grande
3513306,Cruzália,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3513405,Cruzeiro,URAE 3 - Leste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3513504,Cubatão,URAE 1 - Sudeste,Região Metropolitana da Baixada Santista,Baixada Santista
3513603,Cunha,URAE 3 - Leste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3513702,Descalvado,URAE 4 - Norte,_Fora de RMs/AUs,Mogi-Guaçu
3513801,Diadema,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3513850,Dirce Reis,URAE 1 - Sudeste,_Fora de RMs/AUs,São José dos Dourados
3513900,Divinolândia,URAE 1 - Sudeste,_Fora de RMs/AUs,Pardo
3514007,Dobrada,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3514106,Dois Córregos,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3514205,Dolcinópolis,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3514304,Dourado,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3514403,Dracena,URAE 2 - Centro,_Fora de RMs/AUs,Aguapeí
3514502,Duartina,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3514601,Dumont,URAE 4 - Norte,Região Metropolitana de Ribeirão Preto,Mogi-Guaçu
3514700,Echaporã,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3514809,Eldorado,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3514908,Elias Fausto,URAE 1 - Sudeste,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3514924,Elisiário,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3514957,Embaúba,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3515004,Embu das Artes,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3515103,Embu-Guaçu,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3515129,Emilianópolis,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3515152,Engenheiro Coelho,URAE 3 - Leste,Região Metropolitana de Campinas,Mogi-Guaçu
