id_municipio,nome_ugrhi
3519071,Piracicaba / Capivari / Jundiaí
3519105,Tietê / Jacaré
3519204,Aguapeí
3519253,Médio Paranapanema
3519303,Tietê / Jacaré
3519402,Tietê / Batalha
3519501,Médio Paranapanema
3519600,Tietê / Jacaré
3519709,Tietê / Sorocaba
3519808,Baixo Pardo / Grande
3519907,Pontal do Paranapanema
3520004,Tietê / Jacaré
3520103,Sapucaí / Grande
3520202,Paraíba do Sul
3520301,Ribeira de Iguape / Litoral Sul
3520426,Ribeira de Iguape / Litoral Sul
3520442,São José dos Dourados
3520400,Litoral Norte
3520509,Piracicaba / Capivari / Jundiaí
3520608,Peixe
3520707,Turvo / Grande
3520806,Peixe
3520905,Alto Paranapanema
3521002,Tietê / Sorocaba
3521101,Piracicaba / Capivari / Jundiaí
3521150,Turvo / Grande
3521200,Ribeira de Iguape / Litoral Sul
3521309,Sapucaí / Grande
3521408,Piracicaba / Capivari / Jundiaí
3521507,Tietê / Batalha
3521606,Peixe
3521705,Alto Paranapanema
3521804,Alto Paranapanema
3521903,Tietê / Batalha
3522000,Tietê / Jacaré
3522109,Baixada Santista
3522158,Ribeira de Iguape / Litoral Sul
3522208,Alto Tietê
3522307,Alto Paranapanema
3522406,Alto Paranapanema
3522505,Alto Tietê
3522604,Mogi-Guaçu
3522653,Ribeira de Iguape / Litoral Sul
3522703,Tietê / Batalha
3522802,Alto Paranapanema
3522901,Tietê / Jacaré
3523008,Baixo Tietê
3523107,Alto Tietê
3523206,Alto Paranapanema
3523305,Ribeira de Iguape / Litoral Sul
3523404,Piracicaba / Capivari / Jundiaí
3523503,Médio Paranapanema
3523602,Tietê / Jacaré
3523701,Sapucaí / Grande
3523800,Pardo
3523909,Tietê / Sorocaba
3524006,Piracicaba / Capivari / Jundiaí
3524105,Sapucaí / Grande
3524204,Baixo Pardo / Grande
3524303,Mogi-Guaçu
3524402,Paraíba do Sul
3524501,Tietê / Batalha
3524600,Ribeira de Iguape / Litoral Sul
3524709,Piracicaba / Capivari / Jundiaí
3524808,São José dos Dourados
3524907,Paraíba do Sul
3525003,Alto Tietê
3525102,Pardo
3525201,Piracicaba / Capivari / Jundiaí
3525300,Tietê / Jacaré
3525409,Sapucaí / Grande
3525508,Piracicaba / Capivari / Jundiaí
3525607,Médio Paranapanema
3525706,Baixo Tietê
3525805,Aguapeí
3525854,Tietê / Sorocaba
3525904,Piracicaba / Capivari / Jundiaí
3526001,Peixe
3526100,Ribeira de Iguape / Litoral Sul
3526209,Ribeira de Iguape / Litoral Sul
3526308,Paraíba do Sul
3526407,Tietê / Sorocaba
3526506,Baixo Tietê
3526605,Paraíba do Sul
3526704,Mogi-Guaçu
3526803,Tietê / Jacaré
3526902,Piracicaba / Capivari / Jundiaí
3527009,Mogi-Guaçu
3527108,Tietê / Batalha
3527207,Paraíba do Sul
3527256,Baixo Tietê
3527306,Piracicaba / Capivari / Jundiaí
3527405,Aguapeí
3527504,Médio Paranapanema
3527603,Mogi-Guaçu
3527702,Aguapeí
3527801,Médio Paranapanema
3527900,Peixe
3528007,Tietê / Jacaré
3528106,Baixo Tietê
3528205,Turvo / Grande
3528304,Baixo Tietê
3528403,Tietê / Sorocaba
3528502,Alto Tietê
3528601,Alto Paranapanema
3528700,Pontal do Paranapanema
3528809,Médio Paranapanema
3528858,Tietê / Batalha
3528908,Peixe
3529005,Peixe
3529104,São José dos Dourados
3529203,Peixe
3529302,Tietê / Batalha
3529401,Alto Tietê
3529500,Tietê / Batalha
3529609,Turvo / Grande
3529658,Turvo / Grande
3529708,Sapucaí / Grande
3529807,Tietê / Jacaré
3530003,Turvo / Grande
3529906,Ribeira de Iguape / Litoral Sul
3530102,Baixo Tietê
3530201,Pontal do Paranapanema
3530300,Turvo / Grande
3530409,Turvo / Grande
3530508,Pardo
3530706,Mogi-Guaçu
3530607,Alto Tietê
3530805,Mogi-Guaçu
3530904,Piracicaba / Capivari / Jundiaí
3531001,Baixo Tietê
3531100,Baixada Santista
3531209,Piracicaba / Capivari / Jundiaí
3531308,Turvo / Grande
3531407,São José dos Dourados
3531506,Turvo / Grande
3531605,Aguapeí
3531803,Piracicaba / Capivari / Jundiaí
3531704,Paraíba do Sul
3531902,Baixo Pardo / Grande
3532009,Piracicaba / Capivari / Jundiaí
3532058,Mogi-Guaçu
3532108,Baixo Tietê
3532157,Pontal do Paranapanema
3532207,Pontal do Paranapanema
3532306,Paraíba do Sul
3532405,Piracicaba / Capivari / Jundiaí
3532504,São José dos Dourados
3532603,São José dos Dourados
3532702,Baixo Tietê
3532801,Tietê / Batalha
3532827,Alto Paranapanema
3532843,São José dos Dourados
3532868,Baixo Tietê
3532900,Tietê / Jacaré
3533007,Turvo / Grande
3533106,Aguapeí
3533205,Aguapeí
3533304,Baixo Tietê
3533403,Piracicaba / Capivari / Jundiaí
3533254,Turvo / Grande
3533502,Tietê / Batalha
3533601,Sapucaí / Grande
3533700,Médio Paranapanema
3533809,Médio Paranapanema
3533908,Turvo / Grande
3534005,Turvo / Grande
3534104,Peixe
3534203,Turvo / Grande
3534302,Baixo Pardo / Grande
3534401,Alto Tietê
3534500,Peixe
3534609,Peixe
3534708,Médio Paranapanema
3534807,Peixe
3534757,Turvo / Grande
3534906,Aguapeí
3535002,Turvo / Grande
3535101,Turvo / Grande
3535200,São José dos Dourados
3535309,Médio Paranapanema
3535408,Aguapeí
3535507,Médio Paranapanema
3535606,Paraíba do Sul
3535705,Turvo / Grande
3535804,Alto Paranapanema
3535903,Turvo / Grande
3536000,Aguapeí
3536109,Médio Paranapanema
3536208,Ribeira de Iguape / Litoral Sul
3536257,Turvo / Grande
3536307,Sapucaí / Grande
3536406,Aguapeí
3536505,Piracicaba / Capivari / Jundiaí
3536570,Médio Paranapanema
3536604,Turvo / Grande
3536703,Tietê / Jacaré
3536802,Piracicaba / Capivari / Jundiaí
3536901,Turvo / Grande
3537008,Sapucaí / Grande
3537107,Piracicaba / Capivari / Jundiaí
3537156,Médio Paranapanema
3537206,Ribeira de Iguape / Litoral Sul
3537305,Baixo Tietê
3537404,Baixo Tietê
3537503,Tietê / Sorocaba
3537602,Baixada Santista
3537701,Aguapeí
3537800,Tietê / Sorocaba
3537909,Alto Paranapanema
3538006,Paraíba do Sul
3538105,Turvo / Grande
3538204,Piracicaba / Capivari / Jundiaí
3538303,Peixe
3538501,Paraíba do Sul
3538600,Piracicaba / Capivari / Jundiaí
3538709,Piracicaba / Capivari / Jundiaí
3538808,Alto Paranapanema
3538907,Tietê / Batalha
3539004,Turvo / Grande
3539103,Alto Tietê
3539202,Pontal do Paranapanema
3539301,Mogi-Guaçu
3539400,Tietê / Batalha
3539509,Mogi-Guaçu
3539608,Baixo Tietê
3539707,Médio Paranapanema
3539806,Alto Tietê
3539905,Baixo Tietê
3540002,Aguapeí
3540101,Tietê / Batalha
3540200,Mogi-Guaçu
3540259,São José dos Dourados
3540309,Turvo / Grande
3540408,Turvo / Grande
