id_municipio,nome_rm
3515004,Região Metropolitana de São Paulo
3515103,Região Metropolitana de São Paulo
3522208,Região Metropolitana de São Paulo
3526209,Região Metropolitana de São Paulo
3549953,Região Metropolitana de São Paulo
3552809,Região Metropolitana de São Paulo
3556453,Região Metropolitana de São Paulo
3550308,Região Metropolitana de São Paulo
3500758,Região Metropolitana de Sorocaba
3507001,Região Metropolitana de Sorocaba
3510302,Região Metropolitana de Sorocaba
3511508,Região Metropolitana de Sorocaba
3511607,Região Metropolitana de Sorocaba
3522307,Região Metropolitana de Sorocaba
3525854,Região Metropolitana de Sorocaba
3551108,Região Metropolitana de Sorocaba
3554003,Região Metropolitana de Sorocaba
3554508,Região Metropolitana de Sorocaba
3501152,Região Metropolitana de Sorocaba
3502754,Região Metropolitana de Sorocaba
3519709,Região Metropolitana de Sorocaba
3523909,Região Metropolitana de Sorocaba
3528403,Região Metropolitana de Sorocaba
3540606,Região Metropolitana de Sorocaba
3545209,Região Metropolitana de Sorocaba
3550605,Região Metropolitana de Sorocaba
3502903,Região Metropolitana de Sorocaba
3521002,Região Metropolitana de Sorocaba
3537800,Região Metropolitana de Sorocaba
3537909,Região Metropolitana de Sorocaba
3545308,Região Metropolitana de Sorocaba
3550209,Região Metropolitana de Sorocaba
3552205,Região Metropolitana de Sorocaba
3553500,Região Metropolitana de Sorocaba
3557006,Região Metropolitana de Sorocaba
3508504,Região Metropolitana do Vale do Paraíba e Litoral Norte
3520202,Região Metropolitana do Vale do Paraíba e Litoral Norte
3524402,Região Metropolitana do Vale do Paraíba e Litoral Norte
3524907,Região Metropolitana do Vale do Paraíba e Litoral Norte
3531704,Região Metropolitana do Vale do Paraíba e Litoral Norte
3535606,Região Metropolitana do Vale do Paraíba e Litoral Norte
3546009,Região Metropolitana do Vale do Paraíba e Litoral Norte
3549904,Região Metropolitana do Vale do Paraíba e Litoral Norte
3509700,Região Metropolitana do Vale do Paraíba e Litoral Norte
3526308,Região Metropolitana do Vale do Paraíba e Litoral Norte
3532306,Região Metropolitana do Vale do Paraíba e Litoral Norte
3538006,Região Metropolitana do Vale do Paraíba e Litoral Norte
3542305,Região Metropolitana do Vale do Paraíba e Litoral Norte
3548203,Região Metropolitana do Vale do Paraíba e Litoral Norte
3548609,Região Metropolitana do Vale do Paraíba e Litoral Norte
3550001,Região Metropolitana do Vale do Paraíba e Litoral Norte
3554102,Região Metropolitana do Vale do Paraíba e Litoral Norte
3554805,Região Metropolitana do Vale do Paraíba e Litoral Norte
3502507,Região Metropolitana do Vale do Paraíba e Litoral Norte
3508603,Região Metropolitana do Vale do Paraíba e Litoral Norte
3509957,Região Metropolitana do Vale do Paraíba e Litoral Norte
3513603,Região Metropolitana do Vale do Paraíba e Litoral Norte
3518404,Região Metropolitana do Vale do Paraíba e Litoral Norte
3527207,Região Metropolitana do Vale do Paraíba e Litoral Norte
3538501,Região Metropolitana do Vale do Paraíba e Litoral Norte
3540754,Região Metropolitana do Vale do Paraíba e Litoral Norte
3544301,Região Metropolitana do Vale do Paraíba e Litoral Norte
3503158,Região Metropolitana do Vale do Paraíba e Litoral Norte
